trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.32,0.128,0.32,1.0,1,0.171,0.156,0.066,1.1,10,1000
2,0.51,0,0.164,0.0,0.162,0.12,0,0.0,0.0,0.0,1.1,10,1000
3,1.0,1,0.859,0.156,0.736,1.0,1,0.846,0.142,0.748,1.1,10,1000
4,1.0,1,0.746,0.002,0.745,1.0,1,0.998,0.19,0.642,1.1,10,1000
5,1.0,1,0.995,0.0,0.496,1.0,1,0.0,0.0,0.0,1.1,10,1000
6,1.0,1,0.778,0.077,0.359,1.0,1,0.07,0.022,0.064,1.1,10,1000
7,1.0,1,0.086,0.0,0.084,1.0,1,1.0,0.937,0.587,1.1,10,1000
8,0.0,0,0.0,0.0,0.177,1.0,1,1.0,1.0,1.0,1.1,10,1000
9,0.0,0,0.0,0.0,0.098,1.0,1,1.0,0.0,1.0,1.1,10,1000
10,0.879,0,0.088,0.0,0.201,1.0,0,0.947,0.0,0.703,1.1,10,1000
11,1.0,1,0.765,0.807,0.743,0.0,0,0.0,0.15,0.245,1.1,10,1000
12,1.0,1,0.877,0.779,0.897,1.0,1,0.0,0.074,0.248,1.1,10,1000
13,0.746,0,0.682,0.0,0.648,0.891,0,0.692,0.0,0.684,1.1,10,1000
14,1.0,0,1.0,0.0,0.584,0.991,0,0.96,0.0,0.565,1.1,10,1000
15,1.0,1,0.0,1.0,0.078,1.0,1,0.0,1.0,0.079,1.1,10,1000
16,1.0,1,0.097,1.0,0.284,0.0,0,0.0,0.912,0.215,1.1,10,1000
17,1.0,1,0.045,0.688,0.072,1.0,1,0.0,0.64,0.237,1.1,10,1000
18,1.0,1,0.014,0.672,0.096,1.0,1,0.016,0.667,0.049,1.1,10,1000
19,1.0,1,0.856,0.007,0.723,1.0,1,0.877,0.005,0.707,1.1,10,1000
20,1.0,1,0.969,0.004,0.755,1.0,1,0.977,0.021,0.619,1.1,10,1000
21,1.0,1,0.627,0.613,0.622,1.0,1,0.006,0.257,0.01,1.1,10,1000
22,1.0,1,1.0,0.991,0.857,1.0,1,0.005,0.0,0.111,1.1,10,1000
23,0.029,0,0.021,0.0,0.015,0.988,0,0.985,0.0,0.872,1.1,10,1000
24,1.0,1,0.511,0.0,0.455,1.0,1,0.997,0.204,0.822,1.1,10,1000
25,1.0,1,0.103,0.116,0.136,1.0,1,0.886,0.802,0.749,1.1,10,1000
26,1.0,1,0.125,0.009,0.105,1.0,1,0.989,0.527,0.555,1.1,10,1000
27,1.0,1,1.0,0.368,0.985,0.0,0,0.0,0.0,0.038,1.1,10,1000
28,1.0,1,0.992,0.044,0.858,0.0,0,0.0,0.0,0.001,1.1,10,1000
29,1.0,1,0.707,0.158,0.498,1.0,1,0.766,0.215,0.491,1.1,10,1000
30,1.0,1,0.701,0.256,0.662,1.0,1,0.642,0.207,0.54,1.1,10,1000
31,1.0,1,0.0,0.0,0.002,1.0,1,0.0,0.0,0.0,1.1,10,1000
32,0.0,0,0.0,0.203,0.189,1.0,1,0.475,0.4,0.518,1.1,10,1000
